Date,Open,High,Low,Close,Volume,OpenInt
11/18/2005,315,319.38,315,319,13400,0
11/21/2005,319,319.8,318,319.5,8200,0
11/22/2005,318.5,319.5,317.6,318.95,8800,0
11/23/2005,319,319.25,318,319,6400,0
11/25/2005,319,319,318.28,318.85,1800,0
11/28/2005,316.5,318.73,316.5,317.85,9300,0
11/29/2005,317.85,317.95,317.02,317.69,10000,0
11/30/2005,318.5,318.74,314.5,317.25,14500,0
12/1/2005,316.35,318.5,315.8,317.9,19400,0
12/2/2005,316.25,318.4,316.25,317.5,15200,0
12/5/2005,317.5,317.6,313,314.49,20800,0
12/6/2005,313.5,315.49,313.01,314,24000,0
12/7/2005,313.5,314.11,309,312.3,17900,0
12/8/2005,310.35,314.99,310.19,312.65,33900,0
12/9/2005,312,314,311.6,312.75,12300,0
12/12/2005,312,315,308.14,309.35,29600,0
12/13/2005,310,311.09,307.41,309.1,30400,0
12/14/2005,308.12,311.9,308,311,13500,0
12/15/2005,309.05,310.5,309.05,310.25,8800,0
12/16/2005,312.2,313,308.5,310.3,25100,0
12/19/2005,312,312.5,311.5,312.5,12500,0
12/20/2005,312.89,314.53,312.5,314.21,17100,0
12/21/2005,316.15,318.5,315.81,317,18000,0
12/22/2005,317.98,319.21,315.75,318.5,15000,0
12/23/2005,318.5,319.85,316.88,318.31,7100,0
12/27/2005,318.31,319.99,317.05,317.46,8000,0
12/28/2005,315.75,317.59,315.71,316.05,8300,0
12/29/2005,316.02,316.99,315,315.5,7900,0
12/30/2005,315,317.69,312.5,317.05,8300,0
1/3/2006,317.05,319.5,315.5,319.5,20600,0
1/4/2006,320,322.11,319,320.55,26100,0
1/5/2006,321,323.56,320.12,322.67,17700,0
1/6/2006,322.25,326.7,322.25,326.1,8400,0
1/9/2006,326,328.8,326,328.8,16000,0
1/10/2006,328.8,330.2,327,330.2,43800,0
1/11/2006,329.7,331,327.77,329.46,41700,0
1/12/2006,329,332.3,328.23,329,31600,0
1/13/2006,329.7,331,328,330.65,33500,0
1/17/2006,330.65,331.17,329,330.2,18900,0
1/18/2006,330.2,330.8,328.02,329.49,12800,0
1/19/2006,330,330,326,328.95,10900,0
1/20/2006,329.5,329.5,326,326,10900,0
1/23/2006,326,328,325.2,327.7,20000,0
1/24/2006,327,327.65,322.73,323,16400,0
1/25/2006,323.25,327.16,323.25,327.16,15000,0
1/26/2006,327.25,329.5,321.51,323.5,50400,0
1/27/2006,323,331.5,322.95,331,46200,0
1/30/2006,330.5,336.2,330,336.2,66200,0
1/31/2006,336,336.19,333.5,334,29100,0
2/1/2006,334.5,336,331.05,335.11,16000,0
2/2/2006,335.4,335.4,332.1,332.89,22100,0
2/3/2006,331,331.5,328.99,329.99,25600,0
2/6/2006,328.75,330.99,327.76,329.99,28400,0
2/7/2006,330,330.03,328,329.26,30300,0
2/8/2006,329.5,330,328.5,329,18400,0
2/9/2006,330,330,327,327.03,110300,0
2/10/2006,327.95,330,327,328.4,15900,0
2/13/2006,329.35,329.35,328.01,328.89,14200,0
2/14/2006,329,331.22,328.72,331.22,65200,0
2/15/2006,329.3,331.9,329.24,331.4,33800,0
2/16/2006,332.9,332.9,329,330.5,42000,0
2/17/2006,329.6,330.5,328.74,329.75,17400,0
2/21/2006,329,329.99,328,329.15,19600,0
2/22/2006,328.3,332.33,328,332.33,26800,0
2/23/2006,333,333,329.01,330.72,22300,0
2/24/2006,330.9,331.99,330.32,330.75,13800,0
2/27/2006,330.25,332.84,329,332.45,12100,0
2/28/2006,332,333,326,328.55,30700,0
3/1/2006,326.6,326.6,322,324,54100,0
3/2/2006,324.01,326.44,323.16,325.9,15400,0
3/3/2006,326.49,327.25,324.5,326.14,15200,0
3/6/2006,326.14,327.86,325.45,327.3,14300,0
3/7/2006,326.4,329.7,326.4,329.2,13400,0
3/8/2006,330,335.4,329.75,334.6,29200,0
3/9/2006,336,338.75,335.85,337.05,29500,0
3/10/2006,339,343.45,338.25,343,27100,0
3/13/2006,344,345.47,341.75,345,12100,0
3/14/2006,344,345.78,340,342.82,18000,0
3/15/2006,344.75,350.33,343.5,349,24000,0
3/16/2006,347.1,347.13,345.51,346.01,8700,0
3/17/2006,347.9,347.9,343.42,344,8800,0
3/20/2006,345,346.43,341.5,343,19400,0
3/21/2006,343.9,343.9,333,334.98,32900,0
3/22/2006,335.95,337.5,330,334.8,36400,0
3/23/2006,333.9,341.8,333.9,335.77,20500,0
3/24/2006,336.7,340.45,336.65,339.75,9100,0
3/27/2006,339.75,340.97,336.75,340,13400,0
3/28/2006,337.9,339.5,335.5,338.55,12700,0
3/29/2006,336,341.95,336,340,8000,0
3/30/2006,339.05,340,336.12,339.5,10400,0
3/31/2006,337.52,337.9,334.5,337.68,12000,0
4/3/2006,338.63,340.8,335.06,340.04,11700,0
4/4/2006,341.04,343,337.27,341.4,10100,0
4/5/2006,339.45,340.99,337.5,340.25,7400,0
4/6/2006,340.25,340.25,338,339.94,14600,0
4/7/2006,339,343,338.5,341.7,22800,0
4/10/2006,340.75,343,340,342.7,13300,0
4/11/2006,342,342.65,338,341.75,15000,0
4/12/2006,342.65,343.03,341.5,342.5,8600,0
4/13/2006,343.45,345,341.5,343.15,14700,0
4/17/2006,345,345,339.3,341.45,10800,0
4/18/2006,339.75,343.7,339.5,341.51,18400,0
4/19/2006,340.6,349.75,340.6,347.46,7700,0
4/20/2006,349.4,350.77,347.63,350.14,16000,0
4/21/2006,349.25,350.49,347.25,350.4,12100,0
4/24/2006,349.45,351.99,348.8,351.35,15200,0
4/25/2006,352.35,352.85,350.01,351.02,16600,0
4/26/2006,353,356.15,351.25,355,16200,0
4/27/2006,354.25,355.65,350.06,351.04,15900,0
4/28/2006,349.92,350.5,348,349.25,13800,0
5/1/2006,348.3,350,346.03,348.9,23000,0
5/2/2006,347.9,351.04,344.1,350,18000,0
5/3/2006,351.9,358.66,349.25,357,26900,0
5/4/2006,359.5,359.95,353.5,358.72,21700,0
5/5/2006,358,359.95,356.01,359.2,15600,0
5/8/2006,359.01,359.01,353.5,355.81,31400,0
5/9/2006,355.1,356.33,354,356.1,31300,0
5/10/2006,357.05,358.91,355.67,357.55,19700,0
5/11/2006,358.45,360.01,358,359.75,19700,0
5/12/2006,358.77,361,356.95,357.8,7800,0
5/15/2006,356.25,361.5,355.75,361.04,15200,0
5/16/2006,360.06,361.99,358.5,360.7,22800,0
5/17/2006,358.8,360.95,354.8,354.97,49100,0
5/18/2006,354,354,347.52,347.53,15200,0
5/19/2006,345.63,347.45,342.6,345.18,16400,0
5/22/2006,344.18,344.56,341.11,341.21,9900,0
5/23/2006,340.5,343.25,334.24,335.15,25300,0
5/24/2006,334.65,335.95,332.15,335,30400,0
5/25/2006,333.5,338.36,333.5,336.23,46200,0
5/26/2006,336,339.94,334.46,339.62,21000,0
5/30/2006,340.62,342.03,337.55,338.65,22200,0
5/31/2006,338,338.25,336.51,337.75,20800,0
6/1/2006,337.75,347.45,337.21,346.3,47000,0
6/2/2006,347.5,347.5,344.5,344.91,19100,0
6/5/2006,343.31,349.2,343.31,344.97,12800,0
6/6/2006,344.97,345.98,336.72,343,22600,0
6/7/2006,342.25,346.6,340.75,345.06,7100,0
6/8/2006,344.16,345.83,342,344.23,12500,0
6/9/2006,345,349.5,344.25,346.1,11100,0
6/12/2006,346,346,344.27,344.27,14900,0
6/13/2006,342.3,343.75,335.27,335.27,25000,0
6/14/2006,334.75,334.75,325,326.35,20400,0
6/15/2006,328.45,332.9,328.45,332.8,21800,0
6/16/2006,332.8,336.79,330.5,336,21000,0
6/19/2006,336.75,338.75,336,338.74,13300,0
6/20/2006,338,338,335.5,336,7100,0
6/21/2006,336,341.7,336,340.96,12300,0
6/22/2006,340.26,342.75,338.04,339.3,18100,0
6/23/2006,339.3,340,338,338,4600,0
6/26/2006,339.9,340.25,337.57,339.9,12600,0
6/27/2006,340,343.05,338,343.05,19400,0
6/28/2006,343.05,347.68,342.55,346.9,15900,0
6/29/2006,347,350,344.05,349.11,12300,0
6/30/2006,348.36,348.36,345.45,347,22400,0
7/3/2006,345.5,346.25,342.5,345.15,11000,0
7/5/2006,344.2,344.3,340.3,341.5,11000,0
7/6/2006,342.5,344.99,342,344,7200,0
7/7/2006,344,345.75,343.99,345.05,9500,0
7/10/2006,345.91,346.75,344.25,345,5000,0
7/11/2006,344.25,345.11,343.37,345.11,4600,0
7/12/2006,344.26,347,341.5,342.21,6200,0
7/13/2006,343,343,339.61,341.5,9600,0
7/14/2006,340.75,341.34,338,338,6800,0
7/17/2006,337.49,338.25,336.07,336.9,5400,0
7/18/2006,336.9,336.9,333.59,334.8,4200,0
7/19/2006,334.8,338.25,334,335.05,17100,0
7/20/2006,337,337.2,334,335.8,9300,0
7/21/2006,335.5,335.5,332.44,333.75,4100,0
7/24/2006,333.75,334.5,332.5,333.4,14900,0
7/25/2006,332.7,337,332.7,333.89,3900,0
7/26/2006,334.65,335,333,334.67,8600,0
7/27/2006,335,336.5,333.48,335.1,21800,0
7/28/2006,335,339.99,334.19,339,18100,0
7/31/2006,339,340.65,337.5,340.65,11000,0
8/1/2006,341.6,341.6,335.75,336.5,12200,0
8/2/2006,340,350.09,340,349.89,41800,0
8/3/2006,350,360,350,360,26500,0
8/4/2006,360,371,358.01,364.25,34500,0
8/7/2006,362.75,367.98,362,366.45,16500,0
8/8/2006,365.7,367.75,361,362,17000,0
8/9/2006,362,365.5,361,362.25,18200,0
8/10/2006,361.5,366,361.04,366,12500,0
8/11/2006,366.75,367.25,364,365.96,6600,0
8/14/2006,365.3,365.3,359.25,360.75,20200,0
8/15/2006,359.8,364.3,359.8,361.5,30400,0
8/16/2006,360,363,360,362.75,17500,0
8/17/2006,362.75,365,361.93,364,21000,0
8/18/2006,364,364.36,360.75,363.85,13600,0
8/21/2006,363.85,363.85,360,361.75,9100,0
8/22/2006,361,361.99,359,359.9,11200,0
8/23/2006,359,359.98,356.25,359,11800,0
8/24/2006,359,359,356.15,356.15,10600,0
8/25/2006,355.25,357,354.25,355.25,4800,0
8/28/2006,355,356.25,354.35,356.25,5900,0
8/29/2006,357,357,351,351.31,22900,0
8/30/2006,352,360.79,352,360.5,10300,0
8/31/2006,359.55,364.23,358.25,363.33,11500,0
9/1/2006,364.2,365.75,362.4,364.63,7200,0
9/5/2006,365,365.7,361.49,362.45,12200,0
9/6/2006,364.4,366.72,363,365.99,16800,0
9/7/2006,366.5,370.62,366.5,369.85,13000,0
9/8/2006,370.5,373.13,368.5,371.51,14100,0
9/11/2006,372.4,377.9,372.4,377.9,12300,0
9/12/2006,377,377.06,372.25,372.5,31900,0
9/13/2006,372.5,375.4,372,373.89,12300,0
9/14/2006,373,384.9,372.01,384.34,31800,0
9/15/2006,384.34,389.45,383,389.45,24600,0
9/18/2006,390.95,391.74,387,391.71,14300,0
9/19/2006,393.66,395.5,391,394.32,38800,0
9/20/2006,394,397.96,394,396.2,28700,0
9/21/2006,397.2,397.2,394.32,396,22200,0
9/22/2006,397,397,394.14,395.65,26900,0
9/25/2006,396.65,396.99,394.9,396,25900,0
9/26/2006,396,402.76,394.5,401.85,37800,0
9/27/2006,399.9,406.7,397.26,405.5,27800,0
9/28/2006,404.75,405,401.51,404.85,15900,0
9/29/2006,405.8,411.5,404.25,410.66,29400,0
10/2/2006,410.66,410.66,406,406.95,23300,0
10/3/2006,407.5,407.56,399.44,402.7,32800,0
10/4/2006,403.9,407.25,402.51,407.25,14400,0
10/5/2006,410,412.99,408.5,411.15,16800,0
10/6/2006,410.5,413,408.6,411.24,18100,0
10/9/2006,413.1,413.5,409.6,410.5,8800,0
10/10/2006,411.25,411.25,408.89,410.8,9600,0
10/11/2006,409.8,413.87,408,408.4,14200,0
10/12/2006,408.4,411.02,406.09,410.95,12600,0
10/13/2006,411.7,413.22,410.2,413,16700,0
10/16/2006,412.62,412.62,405,405.4,41100,0
10/17/2006,406.35,407.25,399,400.49,28200,0
10/18/2006,400,402.73,396.01,396.75,34900,0
10/19/2006,398.25,398.25,390.5,394.7,39000,0
10/20/2006,394,395.5,392.39,393.75,13500,0
10/23/2006,393,393.18,389.76,390.9,23400,0
10/24/2006,392.5,393.65,390,391.67,20600,0
10/25/2006,393,393.74,389.91,393.25,11400,0
10/26/2006,395,398,391.5,396.5,23500,0
10/27/2006,397,400,393,393.4,26000,0
10/30/2006,393.4,398.82,393.4,398,11700,0
10/31/2006,399.75,402,397.25,399.5,22500,0
11/1/2006,414.5,423.67,409.25,414.75,59700,0
11/2/2006,414.9,415.75,407.5,407.6,18800,0
11/3/2006,406.75,413.35,406.75,411,13400,0
11/6/2006,414.5,424,414.5,419.75,30300,0
11/7/2006,423,425,422.44,423.5,15800,0
11/8/2006,425.3,435.55,425.3,431.5,29600,0
11/9/2006,431.5,438,431.49,436,27000,0
11/10/2006,437.9,444,433.2,439,63400,0
11/13/2006,443,449.54,443,448,29700,0
11/14/2006,451,454.69,445,448,44500,0
11/15/2006,448,451.49,447.25,447.76,19500,0
11/16/2006,450.25,450.25,444.68,448.95,25000,0
11/17/2006,452.95,456,449,455.34,18700,0
11/20/2006,456.25,456.25,452.02,452.05,12100,0
11/21/2006,454,456,450,452.46,14600,0
11/22/2006,452.46,454.71,448.5,449.9,16600,0
11/24/2006,449.9,449.97,447,447,6400,0
11/27/2006,447,447.13,438.2,439.25,27100,0
11/28/2006,439.95,445.74,437.02,441.9,40100,0
11/29/2006,444.25,446,440,444.4,23300,0
11/30/2006,446.35,450.74,445,447.75,44400,0
12/1/2006,448.5,450.25,446.5,450.25,30100,0
12/4/2006,452.1,455.47,449.02,454.74,19100,0
12/5/2006,455.7,463.5,455.05,462.11,22100,0
12/6/2006,464.75,464.89,459.45,462.99,24100,0
12/7/2006,461,462,458,458.85,15700,0
12/8/2006,461.5,461.5,458.25,458.83,13700,0
12/11/2006,460,460,455.65,456.49,14500,0
12/12/2006,457,457,450.01,452.9,26300,0
12/13/2006,453.85,454.86,451.6,453,12100,0
12/14/2006,453,463,450.75,463,33100,0
12/15/2006,465,470.99,463.39,464.75,23200,0
12/18/2006,466.7,470.75,466.1,468.9,11100,0
12/19/2006,470.4,471.75,465,470,18400,0
12/20/2006,471.95,479.5,471.25,479.49,19100,0
12/21/2006,487,494,472.8,472.8,39500,0
12/22/2006,472.8,479.19,466,470.03,28500,0
12/26/2006,475.02,477.2,474,477,18900,0
12/27/2006,478.5,482.53,477.55,481.5,10100,0
12/28/2006,485,485,478,478.01,18600,0
12/29/2006,478.01,481.12,477.25,480.1,10900,0
1/3/2007,485,487.59,476.13,478.3,50100,0
1/4/2007,480.25,482.05,478.08,479.9,53500,0
1/5/2007,479,480,477.5,478.5,22900,0
1/8/2007,479.3,480.41,474.53,480,86400,0
1/9/2007,481,486.3,480.2,483.2,43800,0
1/10/2007,482.25,491.61,482.25,487.2,37800,0
1/11/2007,487.5,498.24,487.3,494,41800,0
1/12/2007,494,496.8,490,496.5,20600,0
1/16/2007,498,505.89,477.14,505.89,36100,0
1/17/2007,504.5,504.5,498,501.05,31300,0
1/18/2007,502,503.65,497.15,497.15,24300,0
1/19/2007,497.56,501,496.07,499.11,25500,0
1/22/2007,501.1,501.1,495,495.9,28700,0
1/23/2007,495.9,497.68,493.45,496.94,16600,0
1/24/2007,496.94,497.74,489.2,492,35400,0
1/25/2007,495,497.12,487.95,492,53200,0
1/26/2007,491.95,491.95,477.61,483.1,46300,0
